original	analyzed	corrected
So sutasomo tathagaṃ, temiya dhiṭṭhānavaraṃ;	so sutasomaḥ tathagam dhiṭṭhāna varam 	so sutasomaḥ tathagam temiya dhiṭṭhāna varam
Pāpuṇittha yo ananta-dhammasāradaṃ namāmi.	yaḥ ananta dhamma sāra dam namāmi 	Pāpuṇittha yo ananta dhamma sāra dam namāmi
Sīmīsā tamabhidhammaṃ yo, suranaramahitaṃ vande.	tam abhidhammam yaḥ sura nara mahitam vande 	Sīmīsā tam abhidhammam yo sura nara mahitam vande
Nigrodhantika nubbhavī sukhaṃ, dhammaṃ yo vicinaṃ nadhīvaro;	nigrodha antika sukham dhammam yaḥ na dhīvaraḥ 	nigrodha antika nubbhavī sukham dhammam yo vicinam na dhīvaraḥ
Bahūnaṃ majjhe yo ratanakamane pāṭihariyaṃ,	bahūnam majjhe yaḥ ratana kamane 	bahūnaṃ majjhe yo ratana kamane pāṭihariyaṃ
Nakhajutirajaṃ cakkaṅgopeta pādavarambujaṃ,	nakha juti rajam pāda vara ambujam 	nakha juti rajam cakka aṅga upeta pāda vara ambujam
Subhasirimato raṃsijālaṅgulidasasaṃsubhiṃ;	raṃsija alaṅguli dasa saṃsubhiṃ 	Subhasirimato raṃsija alaṅguli dasa saṃsubhiṃ
Taṃ sabbaññuṃ sakalarirī nekanāthaṃ namāmi.	tam sabbaññum neka nātham namāmi 	tam sabbaññum sakala rirī neka nātham namāmi
Nāthebhindaggaṃ phalakariṇukaṃ mokkhabhojaṃ namāmi.	phala kariṇukam mokkha bhojam namāmi 	Nāthe bhindaggam phala kariṇukam mokkha bhojam namāmi
Malāloḷullolaṃ atibhayajanaṃ duggasaṃsārasinduṃ,	ati bhaya janam dugga saṃsāra sindum 	Malā loḷa ullolaṃ ati bhaya janaṃ dugga saṃsāra sinduṃ
Padappārakkāmaṃ bahujanagaṇaṃ ekamaggattaramhi,	bahu jana gaṇam eka maggattaramhi 	Padappārakkāmaṃ bahu jana gaṇaṃ eka maggattaramhi
Byāmaṃsugghanadhāra makkuḷusatabbhāṇujjalantattanaṃ,	makkuḷusa tabbhāṇujjalantattanam 	Byāmaṃsugghanadhāra makkuḷusa tabbhāṇujjalantattanam
Ukkaṃsajjuti ketumālavicitaṃ saddhammajotindharaṃ;	ketumāla vicitam saddhamma jotindharam 	Ukkamsa jjuti ketumāla vicitam saddhamma jotindharam
Vandetaṃ muni sakyapuṅgava mahaṃ puṇṇinduvattampi ca.	vandetam muni sakya puṅgava ca 	vandetam muni sakya puṅgava maham puṇṇindu vattam pi ca
Sattamaṃtamaṃ vināsakaṃsakaṃ dadaṃ vineyyakānameva,	sattamaṃtamam vināsa kaṃsakam dadam 	sattamaṃtamam vināsa kaṃsakam dadam vineyyakānameva
Bhāvanaṃvanaṃ dhulīkaraṃ karaṃ tidukkaraṃ pajābhibhuñja;	bhāvanaṃvanam dhulīkaram karam tidukkaram 	bhāvanaṃvanam dhulīkaram karam tidukkaram pajābhibhuñja
Sādaraṃdaraṃ vinodakaṃdakaṃ pavassakaṃ pajānamiva.	sa ādaraṃdaram vinoda kaṃdakam pavassakam 	sādaraṃdaraṃ vinodakaṃdakaṃ pavassakaṃ pajānamiva
Cakkenaṅkītapādo aviraḷadasano mārajussaṅkhapādo;	cakkenaṅkīta pādaḥ a viraḷat dasanaḥ 	cakkenaṅkīta pādaḥ a viraḷat dasanaḥ māra jussaṅkha pādaḥ
Sampannodātadāṭho kanakasamataco nīlamuddhaggalomo;	kanaka sama tacaḥ nīla muddhagga lomaḥ 	Sampanno dāta dāṭho kanaka sama taco nīla muddhagga lomo
Nātho uṇhīsasīso iti guṇasahitaṃ taṃ mahesiṃ namāmi.	nāthaḥ iti guṇa sahitam tam mahesim namāmi 	nātho uṇhīsa sīso iti guṇa sahitam tam mahesim namāmi
Nigguḷagopphako samapado sīhosabhibha haṃsasannibhakamo;	nigguḷa gopphakaḥ haṃsa sannibha kamaḥ 	nigguḷa gopphako samapado sīhosabhibha haṃsa sannibha kamo
Byañjanapuṇṇaposatanu nābhigambhīra achiddadakkhiṇavaṭo.	nābhi gambhīra achidda dakkhiṇa vaṭaḥ 	Byañjana puṇṇa posa tanu nābhi gambhīra achidda dakkhiṇa vaṭo
Nunaalinānupubbarucira ttilādirahitabbisuddhatanuko;	nu na alina anu pubba ruci ra t tila ādi rahi tap suddha tanukaḥ 	nu na alina anu pubba ruci ra tti la ādi rahi ta bi suddha tanukaḥ
Dasasatakoṭi hatthibaladhāraṇo kanakatuṅganāsikasubho,	hatthi bala dhāraṇaḥ kanaka tuṅga nāsika subho 	Dasa sata koṭi hatthi bala dhāraṇo kanaka tuṅga nāsika subho
Assāsappassāsātissaṇu dharamasamasama nami ketumālavicittakaṃ.	dhara masa masama nami ketumāla vicittakam 	Assāsa passāsā tissaṇu dhara masa masama nami ketumāla vicittakam
Buddhuppādo kimaṅgaṃ atidulabhataraṃ ghosamattampi loke,	buddhuppādaḥ kimaṅgam ati dulabhataram loke 	buddhuppādaḥ kimaṅgam ati dulabhataram ghosa mattam api loke
Devamanussabhogapavaraṃ paratthanubhāvañca antimabhave,	deva manussa bhoga pavaram antima bhave 	deva manussa bhoga pavaram para attha anubhavam ca antima bhave
(1) Mahākathaṃ buddhaghoso, tanumeva karaṃapi;	mahā katham buddha ghosaḥ tanum eva 	mahā katham buddha ghoso tanum eva karam api
(3) Sutajjaya anubhava-ṭṭhapanatthena lañchinā;	anubhava ṭhapana tthena lañchinā 	Sutajjaya anubhava ṭhapana tthena lañchinā
Pañcapasādayuttanayano sugandhamukhatuṅganāsikayuto.	sugandha mukha tuṅga nāsika yutaḥ 	Pañca pasāda yutta nayano sugandha mukha tuṅga nāsika yuto
Chattasamānasobhaṇasiro sukesavara ketumālavicito,	chatta samāna sobhaṇa siraḥ ketumāla vicitaḥ 	chatta samāna sobhaṇa siro su kesa vara ketumāla vicito
Sakalamalehi so muni sudūratāya ca malāriniṃ hatatayā,	sakala malehi saḥ muni su dūra tāya ca hata tayā 	sakala malehi so muni su dūra tāya ca malāriniṃ hata tayā
Caraṇayuto tivijji ca suvācatā sugamanā janesu sugato.	caraṇa yutaḥ ca su vāca tā su gamanāḥ janesu sugataḥ 	caraṇa yuto tivijji ca su vāca tā su gamanā janesu sugato
Bhākaraābhāphuṭapaṅkajasamo maggiyañāṇaphuvikasito ca.	bhā kara ābhā phuṭa paṅkaja samaḥ ca 	bhā kara ābhā phuṭa paṅkaja samo maggi ñāṇa phu vikasito ca
Sattanikāye kenapitulyaguṇamapamita sirighaṃnajutisusubhaṃ,	satta nikāye siri ghaṃna juti su subham 	satta nikāye kena pi tulya guṇam apamita siri ghaṃna juti su subham
Buddhuppādo kimmaṅgaṃ bho atidulabhataramidha bhave sughosa mapāparo,	buddhuppādo kimmaṅgam bho ati dulabhataram idha bhave 	buddhuppādo kimmaṅgam bho ati dulabhataram idha bhave sughosa mapāparo
Bhutvānante ve hessante avikalasukhasirimatikā anuttara bhāgino.	avikala sukha sirimatikāḥ bhāginaḥ 	Bhutvā anante ve hessante avikala sukha sirimatikā anuttara bhāgino
Ṭhito kho no namanto kirubhayaputhunājāṇuyo āmasanto,	ṭhitaḥ kho naḥ namantaḥ āmasantaḥ 	ṭhitaḥ kho naḥ namantaḥ kirubhayaputhunājāṇuyo āmasantaḥ
Lomakūpekekalomo samataladasano añjanuddhaggalomo;	sama tala dasanaḥ añjan uddhagga lomaḥ 	Loma kūpe eka lomo sama tala dasanaḥ añjan uddhagga lomaḥ
Saṇhodātuṇṇalomo samavaṭalagalo antaraṃsapiṇo so;	saṇha udātuṇṇa lomaḥ sama vaṭa lagalaḥ saḥ 	saṇha dātuṇṇa lomo sama vaṭa lagalo antaraṃsa piṇo so
Brahmagghoso munindo punapi gupakhumo uṇhisasamphullasīso,	brahmagghosaḥ munindaḥ uṇhisa samphulla sīsaḥ 	brahmagghoso munindo punapi gupakhumo uṇhisa samphulla sīso
Bāttiṃsaṅgopasobhaṃ mudurasahaṇī lokajeṭṭhaṃ name taṃ.	mudura sahaṇī loka jeṭṭham name tam 	Bāttiṃsa aṅgo pasobhaṃ mudura sahaṇī loka jeṭṭhaṃ name taṃ
Uposathuposathamhi, muñcantaṃ nīlarasmiyo;	uposatha uposathamhi muñcantam 	uposatha uposathamhi muñcantam nīlarasmiyo
Bhagavāva lokaatthaṃ, karontaṃ taṃ sadā name.	loka attham karontam tam sadā name 	Bhagavā va loka attham karontam tam sadā name
Vuḍḍhopi jinānaṃ, buddhosi vijānaṃ;	vuḍḍhaḥ api jinānam buddhaḥ asi 	vuḍḍhaḥ api jinānam buddhaḥ asi vijānam
Jahā abhayapūraṃ, namā kanakarūpaṃ.	jahāḥ abhaya pūram kanaka rūpam 	jahāḥ abhaya pūram namā kanaka rūpam
Buddhaṃ suddhaṃ lokesītaṃ, ukkaṃ yuttaṃ yoge haṃ;	buddham suddham ukkam yuttam yoge haṃ 	buddham suddham lokesitam ukkam yuttam yoge haṃ
Vantātītaṃ oghe sīdaṃ, vandāpīhaṃ sokehīhaṃ.	vanta atītam oghe sīdam vanda api iham sokehi iham 	vanta atītam oghe sīdam vanda api aham sokehi iham
Jānito dharo namo ca, tassa yo thuto guṇova.	jānitaḥ dharaḥ namaḥ ca tassa yaḥ thutaḥ guṇa uva 	jānitaḥ dharaḥ namaḥ ca tassa yaḥ thutaḥ guṇaḥ eva
Saddhāyogo bhaji so-ho-namuccaṃ.	saddhā yogaḥ bhaji soha ūnam uccam 	saddhā yogo bhaji so ho nam uccaṃ
Nagara-do juti-mo ghatito-sathe.	nagara daḥ jutimaḥ ghati tosathe 	nagara do juti mo ghatito sathe
Racita-maviralaṃ manussa mathā paṇaṃ,	racitam aviralam manussa paṇam 	racitam aviralam manussa mathā paṇam
Dviadhiki-tare verañjāyaṃ tato dasamaṃ pare,	dvi adhika itare tatas dasamam pare 	dvi adhiki tare verañjāyaṃ tato dasamaṃ pare
Sakko kappile kariya madake niggaho yoti pañce,	sakko kappile madake niggahaḥ pañce 	sakko kappile kariya madake niggaho yoti pañce
Yakkho dabbike damiya nagare soḷase-topi vaṅke,	yakkhaḥ dabbike damiya nagare vaṅke 	yakkho dabbike damiya nagare soḷase-topi vaṅke
Aggo-ghattite paciya paname bodhake monipaññe.	paciya paname bodhake monipaññe 	Aggo-ghattite paciya paname bodhake monipaññe
Tu satte kūle kho kari dha yapato vāsamejaṃ jahanto;	tu satte kūle kho vāsamejam jahantaḥ 	tu satte kūle kho kari dha yapato vāsamejaṃ jahanto
Cālīye parime tatheva acale-kūnepi vīse lilaṃ,	cālīye parime tathā iva vīse lilam 	cālīye parime tathā eva acale kūne api vīse lilam
Kārite ramike pare ca nagare pūrepi vīse imaṃ,	kārite ramike pare ca nagare imam 	kārite ramike pare ca nagare pūrepi vīse imaṃ
Aññamañña-mādarena yo nisinnakena te ca māpayeva;	aññam aññam ādarena yaḥ nisinnakena te ca 	aññam aññam ādarena yo nisinnakena te ca māpayeva
Pubbapubbaārāme payoji-pāsikāya vāramāvasedha,	pubba pubba ārāme payoji pāsikāya 	pubba pubba ārāme payoji pāsikāya vāra māva sedha
Puññenā’nena saṃsāramupadhi suci sappūrise vo paseve,	puññena anena saṃsāram upadhi suci vaḥ paseve 	puññena anena saṃsāram upadhi suci sappūrise vo paseve
Vijahiya purato ttaravaneka kumbhakaragāmakaṃ nivasaye;	puratas kumbhakara gāmakam nivasaye 	Vijahiya puratas uttara vaneka kumbhakara gāmakam nivasaye
Upaṭṭhahamī”ti tamhi katipāhanaṃ vasati kho vimaṃsiya sukhaṃ.	upaṭṭhahami iti tamhi vasati kho sukham 	upaṭṭhahami iti tamhi katipāhanam vasati kho vimaṃsiya sukham
Dhūrasuyutto parigāhiya sujāto supaṭṭhāti kunadita-muyānaṃ;	dhūra su yuttaḥ su jātaḥ su paṭṭhāti 	dhūra su yutto parigāhiya su jāto su paṭṭhāti kunadita-muyānaṃ
